target_gene,n_cells,beta_l2,med_abs_beta,r2_k1,r2_k2,r2_k5,r2_k10,r2_k20,r2_k50,r2_k100,r2_k200,r2_rand20
STRAP,400,30.64853806859615,0.15946625173091888,0.02292969255095669,0.02989270488751484,0.042277606021560714,0.05527580599258091,0.2007157880783858,0.2550120272670034,0.26394945299002015,0.27529400527484355,0.0023226573063860174
SUPV3L1,339,24.12138062835477,0.11480365693569183,0.013530599819592877,0.015175588473602371,0.025612449494554795,0.04493105928710129,0.14815574417518815,0.3230541851819644,0.33031510509464973,0.3434092026514959,0.0017891569862705753
TCF7L2,400,13.856768753327852,0.06270718574523926,0.002059293326039431,0.0020676986936139746,0.0069434116272250246,0.025866243641510318,0.03826958983023101,0.0730296082510766,0.08244819931863533,0.09435798028699328,0.0014029167535027818
THY1,400,11.46998327624857,0.04991234466433525,9.334488264124379e-06,0.00010033833663869904,0.0012618058052412738,0.0024181463263820827,0.006337926020215844,0.01127800084377664,0.014018552393890013,0.02142734713434896,0.0022744444684062192
TUSC3,400,11.369535034657172,0.04875292629003525,0.0002306130738123802,0.0013449934877251021,0.0028872647278293893,0.005127505349344952,0.00928628020504514,0.012825091042445592,0.01648746272545038,0.02413632034062523,0.0017024194125624232
UQCRB,400,14.184745353104576,0.0699407309293747,0.008406236401608275,0.014638358237207065,0.027873650626233194,0.037738805106238275,0.07382827554685158,0.16087324937651207,0.1678538076861883,0.17857006081007398,0.000753072040331133
USF2,400,33.88397525817883,0.16733606159687042,0.07890097794571858,0.0942093822398338,0.11011038968978558,0.11738576811480177,0.3707960188954678,0.41937681211810623,0.4246342006691879,0.4349626758159914,0.0016829029381165985
VCL,400,12.295467776055991,0.05645560100674629,0.0024609754757593033,0.009997270034950819,0.012554141005483044,0.04698133528018187,0.1162693729361878,0.12852566444709917,0.13173927160828275,0.13943249176695632,0.0018029196747841765
WAC,267,32.22599904810458,0.17686915397644043,0.00552809505037605,0.00662260807062932,0.010552699583838523,0.06920993527487168,0.13556414534679045,0.2040977300657125,0.21668595353637343,0.22864736353682596,0.0024968324879532976
ZNF581,400,11.195763631437368,0.05206187814474106,0.0001805366570729841,0.00122754859367015,0.006939719952589396,0.013182650428784394,0.020877678822070606,0.024653451627330694,0.02800416662710305,0.03418644208409934,0.0020403525516189554
ZNF598,255,17.342227903367657,0.0790710374712944,0.000605554326193269,0.0023932894597653797,0.010263218259738388,0.015435605099710098,0.055875364152664565,0.09245353533764854,0.09983867440819802,0.10938686889083488,0.0020561802992013246
